wordpress_section,wordpress_field_name,wordpress_api_name,wordpress_field_type,wordpress_storage,recommended_salesforce_object,salesforce_field_label,salesforce_field_api_name,salesforce_field_type,create_in_salesforce,external_id,unique,required_by_current_connector,notes
Core WordPress User Fields,WordPress User ID,ID,integer,wp_users,Contact,WordPress User ID,WordPress_User_ID__c,"Number(18,0)",Custom field,Yes,Yes,Yes,
Core WordPress User Fields,Username,user_login,string,wp_users,Contact,WordPress Username,WordPress_Username__c,Text(255),Custom field,No,No,No,
Core WordPress User Fields,Email Address,user_email,email/string,wp_users,Contact,Email,Email,Email,Custom field,No,No,No,
Core WordPress User Fields,Display Name,display_name,string,wp_users,Contact,Display Name,Display_Name__c,Text(255),Custom field,No,No,No,
Core WordPress User Fields,First Name,first_name,string,wp_usermeta,Contact,First Name,First_Name__c,Text(255),Custom field,No,No,No,
Core WordPress User Fields,Last Name,last_name,string,wp_usermeta,Contact,Last Name,Last_Name__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,First Name,aac_account_info.first_name,string,wp_usermeta,Contact,First Name,AAC_Account_Info_First_Name__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Last Name,aac_account_info.last_name,string,wp_usermeta,Contact,Last Name,AAC_Account_Info_Last_Name__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Full Name,aac_account_info.name,string,wp_usermeta,Contact,Full Name,AAC_Account_Info_Name__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Email Address,aac_account_info.email,email/string,wp_usermeta,Contact,Email Address,AAC_Account_Info_Email__c,Email,Custom field,No,No,No,
AAC Account Info User Meta,Photo URL,aac_account_info.photo_url,URL/string,wp_usermeta,Contact,Photo URL,AAC_Account_Info_Photo_URL__c,URL,Custom field,No,No,No,
AAC Account Info User Meta,Phone Number,aac_account_info.phone,string,wp_usermeta,Contact,Phone Number,AAC_Account_Info_Phone__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Phone Type,aac_account_info.phone_type,string,wp_usermeta,Contact,Phone Type,AAC_Account_Info_Phone_Type__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Street Address,aac_account_info.street,string,wp_usermeta,Contact,Street Address,AAC_Account_Info_Street__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Address Line 2,aac_account_info.address2,string,wp_usermeta,Contact,Address Line 2,AAC_Account_Info_Address2__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,City,aac_account_info.city,string,wp_usermeta,Contact,City,AAC_Account_Info_City__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,State / Province,aac_account_info.state,string,wp_usermeta,Contact,State / Province,AAC_Account_Info_State__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Postal Code,aac_account_info.zip,string,wp_usermeta,Contact,Postal Code,AAC_Account_Info_Zip__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Country,aac_account_info.country,string,wp_usermeta,Contact,Country,AAC_Account_Info_Country__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,T-Shirt Size,aac_account_info.size,string,wp_usermeta,Contact,T-Shirt Size,AAC_Account_Info_Size__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Legacy Publication Preference,aac_account_info.publication_pref,string,wp_usermeta,Contact,Legacy Publication Preference,AAC_Account_Info_Publication_Pref__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,AAJ Preference,aac_account_info.aaj_pref,string,wp_usermeta,Contact,AAJ Preference,AAC_Account_Info_Aaj_Pref__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,ANAC Preference,aac_account_info.anac_pref,string,wp_usermeta,Contact,ANAC Preference,AAC_Account_Info_Anac_Pref__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,ACJ Preference,aac_account_info.acj_pref,string,wp_usermeta,Contact,ACJ Preference,AAC_Account_Info_Acj_Pref__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Guidebook Preference,aac_account_info.guidebook_pref,string,wp_usermeta,Contact,Guidebook Preference,AAC_Account_Info_Guidebook_Pref__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Magazine Subscriptions,aac_account_info.magazine_subscriptions,array of strings,wp_usermeta,Contact,Magazine Subscriptions,AAC_Account_Info_Magazine_Subscriptions__c,Long Text Area(32768),Custom field,No,No,No,
AAC Account Info User Meta,Membership Discount Type,aac_account_info.membership_discount_type,string,wp_usermeta,Contact,Membership Discount Type,AAC_Account_Info_Membership_Discount_Type__c,Text(255),Custom field,No,No,No,
AAC Account Info User Meta,Auto Renew,aac_account_info.auto_renew,boolean,wp_usermeta,Membership__c,Auto Renew,Auto_Renew__c,Checkbox,Custom field,No,No,Yes,
AAC Account Info User Meta,Payment Method Label,aac_account_info.payment_method,string,wp_usermeta,Contact,Payment Method Label,AAC_Account_Info_Payment_Method__c,Text(255),Custom field,No,No,No,
AAC Profile Info User Meta,Member ID,aac_profile_info.member_id,string,wp_usermeta,Membership__c,AAC Member ID,AAC_Member_ID__c,Text(255),Custom field,No,No,No,
AAC Profile Info User Meta,Membership Tier,aac_profile_info.tier,string,wp_usermeta,Membership__c,Membership Level,Membership_Level__c,Text(255),Custom field,No,No,No,
AAC Profile Info User Meta,Renewal Date,aac_profile_info.renewal_date,date string,wp_usermeta,Membership__c,Renewal Date,Renewal_Date__c,Date,Custom field,No,No,Yes,
AAC Profile Info User Meta,Expiration Date,aac_profile_info.expiration_date,date string,wp_usermeta,Membership__c,Expiration Date,Expiration_Date__c,Date,Custom field,No,No,Yes,
AAC Profile Info User Meta,Joined Date,aac_profile_info.joined_date,date string,wp_usermeta,Membership__c,Joined Date,AAC_Profile_Info_Joined_Date__c,Date,Custom field,No,No,No,
AAC Profile Info User Meta,Membership Status,aac_profile_info.status,string,wp_usermeta,Membership__c,Status,Status__c,Text(255),Custom field,No,No,Yes,
AAC Benefits Info User Meta,Rescue Amount,aac_benefits_info.rescue_amount,integer,wp_usermeta,Membership__c,Rescue Benefit Amount,Rescue_Benefit_Amount__c,"Number(18,0)",Custom field,No,No,No,
AAC Benefits Info User Meta,Medical Amount,aac_benefits_info.medical_amount,integer,wp_usermeta,Membership__c,Medical Benefit Amount,Medical_Benefit_Amount__c,"Number(18,0)",Custom field,No,No,No,
AAC Benefits Info User Meta,Mortal Remains Amount,aac_benefits_info.mortal_remains_amount,integer,wp_usermeta,Membership__c,Mortal Remains Amount,Mortal_Remains_Amount__c,"Number(18,0)",Custom field,No,No,Yes,
AAC Benefits Info User Meta,Rescue Reimbursement Process Included,aac_benefits_info.rescue_reimbursement_process,boolean,wp_usermeta,Membership__c,Rescue Reimbursement Process,Rescue_Reimbursement_Process__c,Checkbox,Custom field,No,No,Yes,
AAC Grant Applications User Meta,Grant Application ID,aac_grant_applications[].id,string,wp_usermeta,Grant_Application__c,Grant Application ID,AAC_Grant_Applications_Record_ID__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Grant Slug,aac_grant_applications[].grant_slug,string,wp_usermeta,Grant_Application__c,Grant Slug,AAC_Grant_Applications_Record_Grant_Slug__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Grant Name,aac_grant_applications[].grant_name,string,wp_usermeta,Grant_Application__c,Grant Name,AAC_Grant_Applications_Record_Grant_Name__c,Text(255),Custom field,No,No,No,
AAC Grant Applications User Meta,Category,aac_grant_applications[].category,string,wp_usermeta,Grant_Application__c,Category,AAC_Grant_Applications_Record_Category__c,Text(255),Custom field,No,No,No,
